StudentID,ClassID,Name,Gender,Age
1,183,Matthew Clark,Male,7
2,77,Danny Bell,Male,9
3,21,Tiffany Pierce,Female,8
4,36,Liam Ebden,Male,11
5,52,Georgia Kelly,Female,9
6,172,Joseph Aldridge,Male,14
7,95,Anthony Isaac,Male,11
8,58,Cassandra Raven,Female,12
9,33,Bridget Fox,Female,8
10,187,Ryan Martin,Male,9
11,138,Skylar Chappell,Female,14
12,185,Jack Townend,Male,14
13,155,Aileen Fields,Female,7
14,184,Greta Downing,Female,10
15,39,Erick Rosenbloom,Male,12
16,85,Jack Varley,Male,10
17,101,Julia Verdon,Female,10
18,98,Mayleen Victor,Female,9
19,83,Rae Walsh,Female,7
20,80,Logan Fulton,Male,7
21,4,Bart Mooney,Male,7
22,123,Mike Ingham,Male,13
23,108,Shannon Rosenbloom,Female,11
24,186,Ema Buckley,Female,10
25,176,Harvey Quinn,Male,11
26,57,Josephine Mann,Female,10
27,119,John Barclay,Male,12
28,139,Matthew Kennedy,Male,7
29,167,Boris Wilkinson,Male,9
30,114,Owen Speed,Male,9
31,31,Makena Hall,Female,10
32,29,Logan Allington,Male,7
33,4,Marilyn Rogan,Female,12
34,81,Lucas Bingham,Male,9
35,191,Carrie Roberts,Female,10
36,154,Bart Wilson,Male,11
37,60,Cecilia Gilmore,Female,9
38,109,Rose Barclay,Female,12
39,26,Marjorie Cassidy,Female,8
40,92,Russel Richardson,Male,12
41,113,Peter Eagle,Male,10
42,84,George Marshall,Male,12
43,74,Peyton Pierce,Female,8
44,36,Denny Vollans,Male,11
45,158,Jade Clayton,Female,7
46,53,Doug Weasley,Male,11
47,55,Fiona Ralph,Female,8
48,118,Bryon Larkin,Male,10
49,169,Celina Ellis,Female,8
50,189,Carina Tait,Female,11
51,26,Lucas Pearce,Male,11
52,16,Alexander Uttridge,Male,14
53,117,Marjorie Khan,Female,9
54,18,Jacob Darcy,Male,8
55,170,Davina May,Female,11
56,182,Carter Oliver,Male,11
57,118,Bristol Veale,Female,9
58,61,Miriam Gilbert,Female,12
59,22,Jocelyn Richards,Female,9
60,15,Chester Collis,Male,11
61,196,Maria Edler,Female,9
62,40,Greta Nielson,Female,8
63,82,David Pickard,Male,12
64,123,Alessia Nayler,Female,7
65,95,Ethan Wilde,Male,11
66,107,Juliet Sylvester,Female,7
67,77,Harry Richardson,Male,8
68,129,Samantha Pierce,Female,9
69,23,Leroy Osmond,Male,7
70,68,Logan Gonzales,Female,8
71,82,Benjamin Brown,Male,13
72,77,Maxwell Forth,Male,10
73,45,Aiden Hudson,Male,11
74,59,Cecilia Thomson,Female,10
75,179,Rocco Upsdell,Male,14
76,138,Rufus Thornton,Male,12
77,77,Zoe Reid,Female,14
78,13,Adeline Ring,Female,10
79,164,Hayden Stevenson,Male,11
80,61,Noah Mcnally,Male,12
81,110,Samara Hope,Female,13
82,144,Tyler Slater,Male,7
83,102,Michelle Owens,Female,10
84,95,Martha Vince,Female,13
85,180,Mark Tutton,Male,13
86,82,Mark Plumb,Male,8
87,163,Cara Spencer,Female,12
88,167,Marvin Healy,Male,14
89,197,Harry John,Male,11
90,137,Lana Dann,Female,7
91,4,Chris Nicholls,Male,9
92,38,Ron Dunbar,Male,14
93,49,Madelyn Savage,Female,9
94,45,Rita Wood,Female,9
95,66,Cara Rixon,Female,8
96,39,Erica Murphy,Female,14
97,48,Denis Rose,Male,11
98,164,Regina Hunter,Female,7
99,79,Enoch Silva,Male,7
100,36,Laila Willson,Female,12
101,19,Maddison Leigh,Female,12
102,26,Rylee Bayliss,Female,12
103,152,Wade Flanders,Male,7
104,112,Tony Murphy,Male,12
105,127,Alex Mcleod,Female,14
106,191,Carmen Cunningham,Female,14
107,136,Freya Bolton,Female,7
108,67,Cristal Campbell,Female,11
109,79,Thea Poulton,Female,9
110,192,Jack Warner,Male,13
111,189,Liam Parr,Male,12
112,48,Aileen Hamilton,Female,11
113,180,Wade Rowlands,Male,9
114,54,Noah Moss,Male,13
115,102,Carter Horton,Male,13
116,24,Clint Norburn,Male,10
117,121,Johnny Allington,Male,10
118,106,Taylor Connell,Female,8
119,92,Marla Corbett,Female,14
120,143,Jacob Chadwick,Male,10
121,77,Ruth Mason,Female,13
122,24,Amelia Coll,Female,12
123,173,Caleb Robinson,Male,7
124,89,Elle Ellis,Female,8
125,73,Ron Kelly,Male,12
126,34,Parker Whatson,Female,9
127,86,Ron Buckley,Male,10
128,59,Logan Asher,Male,11
129,104,Kendra Turner,Female,14
130,193,Scarlett Judd,Female,10
131,74,Erica Wild,Female,12
132,34,Michael Saunders,Male,8
133,183,Doug Rosenbloom,Male,11
134,34,Rosemary Glynn,Female,7
135,137,Harry Addley,Male,9
136,110,Lara Nicholls,Female,7
